SageRef,Rep,Country,Postcode,Latitude,Longitude,Customer,Label,County,Brand,ProductCode,Quantity,Turnover,CostPriceAverage,Profit,Currency,Date,FinancialYear
AVC01,Craig Dunlop,United Kingdom,BT63 5BT,54.42,-6.42,AV Ctrl,Current Customer,Northern Ireland,Sonos,SON-PLAY1W,3,343.08,101.20,39.48,GBP,28/06/2019, FY 2018/2019 
CLI001,Danielle Campbell,United Kingdom,W10 5AD,51.52,-0.21,Clic2Control Ltd,Current Customer,Greater London,Klipsch,KLI-PRO-1000SW,1,555.19,352.50,202.69,GBP,28/06/2019, FY 2018/2019 
CLI001,Danielle Campbell,United Kingdom,W10 5AD,51.52,-0.21,Clic2Control Ltd,Current Customer,Greater London,Klipsch,KLI-THX-5002-L,3,1701.00,360.00,621.00,GBP,28/06/2019, FY 2018/2019 
CLI001,Danielle Campbell,United Kingdom,W10 5AD,51.52,-0.21,Clic2Control Ltd,Current Customer,Greater London,Klipsch,KLI-THX-5002-S,4,2268.00,360.00,828.00,GBP,28/06/2019, FY 2018/2019 
INT002,Craig Dunlop,United Kingdom,DN10 4ND,53.42,-0.88,Intelligent AV and Electrical,Current Customer,Nottinghamshire,Rako,RAK-RTC-BRIDGE,1,305.20,218.00,87.20,GBP,28/06/2019, FY 2018/2019 
INT002,Craig Dunlop,United Kingdom,DN10 4ND,53.42,-0.88,Intelligent AV and Electrical,Current Customer,Nottinghamshire,Rako,RAK-RCM-030,2,177.80,63.50,50.80,GBP,28/06/2019, FY 2018/2019 
INT002,Craig Dunlop,United Kingdom,DN10 4ND,53.42,-0.88,Intelligent AV and Electrical,Current Customer,Nottinghamshire,Rako,RAK-RCM-060,2,177.80,63.50,50.80,GBP,28/06/2019, FY 2018/2019 
INT002,Craig Dunlop,United Kingdom,DN10 4ND,53.42,-0.88,Intelligent AV and Electrical,Current Customer,Nottinghamshire,Rako,RAK-RLF-07030-SS,2,112.00,40.00,32.00,GBP,28/06/2019, FY 2018/2019 
INT002,Craig Dunlop,United Kingdom,DN10 4ND,53.42,-0.88,Intelligent AV and Electrical,Current Customer,Nottinghamshire,Rako,RAK-RLF-07060-SS,2,112.00,40.00,32.00,GBP,28/06/2019, FY 2018/2019 
INT002,Craig Dunlop,United Kingdom,DN10 4ND,53.42,-0.88,Intelligent AV and Electrical,Current Customer,Nottinghamshire,Rako,RAK-RCM-070,4,355.60,63.50,101.60,GBP,28/06/2019, FY 2018/2019 
INT002,Craig Dunlop,United Kingdom,DN10 4ND,53.42,-0.88,Intelligent AV and Electrical,Current Customer,Nottinghamshire,Rako,RAK-RMS-800,4,254.80,47.50,64.80,GBP,28/06/2019, FY 2018/2019 
